model,length_bin,accuracy,count
svm_bow,0-50,1.0,1
svm_bow,51-100,0.875,40
svm_bow,101-200,0.8013029315960912,307
svm_bow,201-500,0.7871720116618076,686
svm_bow,500+,0.7875536480686696,466
svm_embeddings,0-50,1.0,1
svm_embeddings,51-100,0.725,40
svm_embeddings,101-200,0.7817589576547231,307
svm_embeddings,201-500,0.750728862973761,686
svm_embeddings,500+,0.778969957081545,466
bert,0-50,1.0,1
bert,51-100,0.925,40
bert,101-200,0.9022801302931596,307
bert,201-500,0.8950437317784257,686
bert,500+,0.9141630901287554,466
